s,l,pnl,roi,pf,taken,skipped,min_cash,max_conc
50000,320000,28980303.65640846,2898.030365640846,5.7572361657519435,12010,11854,0.0,24
120000,200000,28951771.122632094,2895.177112263209,5.449665695920632,9863,14001,0.0,10
100000,220000,28841849.196436197,2884.1849196436197,5.492865991275782,10209,13655,0.0,12
40000,300000,28812878.462975934,2881.2878462975937,5.732818365635633,12970,10894,0.0,29
160000,180000,28764446.366539307,2876.4446366539305,5.51688925766321,9126,14738,0.0,7
180000,180000,28713472.58122587,2871.347258122587,5.602310218451153,8489,15375,29.61257094598841,7
110000,200000,28706560.53691938,2870.656053691938,5.410457222428255,10204,13660,0.0,11
70000,260000,28687242.173292533,2868.7242173292534,5.569935277011595,11104,12760,5.994317569653504,17
90000,220000,28637617.644582912,2863.7617644582915,5.51827066815402,10621,13243,40.286456261295825,13
10000,380000,28582036.389495768,2858.203638949577,6.172263106057278,16334,7530,0.0,104
30000,300000,28546684.940189335,2854.668494018934,5.724555498192147,14080,9784,3.437217741506174,36
50000,360000,28535493.41003854,2853.549341003854,5.684762200308604,11764,12100,0.0,24
40000,360000,28497320.557028282,2849.7320557028283,5.732879992428335,12734,11130,0.0,29
170000,180000,28462508.6694523,2846.25086694523,5.523363545783831,8664,15200,56.637687332811765,7
30000,360000,28450363.72193295,2845.0363721932954,5.919923549132007,13833,10031,62.53528938611271,39
50000,340000,28372407.912761983,2837.2407912761983,5.646287804438684,11895,11969,0.0,24
20000,300000,28368487.21074074,2836.848721074074,5.763277244688849,15401,8463,0.0,54
70000,240000,28325931.547884468,2832.593154788447,5.434523128007796,11330,12534,0.0,17
10000,300000,28316972.936890233,2831.6972936890234,5.901551947072511,17151,6713,0.0,104
150000,180000,28294101.491025966,2829.4101491025967,5.48846986971978,9203,14661,100.95623140141834,8
100000,200000,28264180.504292313,2826.4180504292312,5.378524253077343,10561,13303,0.0,12
50000,280000,28232648.784365356,2823.2648784365356,5.581228337957939,12303,11561,0.0,24
140000,180000,28200771.417608444,2820.0771417608444,5.398051856484196,9527,14337,0.0,9
80000,220000,28155978.775714315,2815.5978775714316,5.3414165260287785,11070,12794,0.0,15
190000,160000,28078430.84271073,2807.843084271073,5.374655695714304,8765,15099,48.369747984572314,7
